Date(YYYY-MM-DD hh:mm:ss),100m wind speed (m/s), rated power output at 100m (MW), SCORE-lite power output at 100m (MW),CorrectedScore
2006-01-01 00:00:00,28.430, 0.000, 0.000,0.000
2006-01-01 00:10:00,27.110, 0.000, 0.000,0.000
2006-01-01 00:20:00,26.580,14.376,14.718,0.000
2006-01-01 00:30:00,26.450,18.138,15.965,0.000
2006-01-01 00:40:00,25.720,30.000,28.886,0.000
2006-01-01 00:50:00,25.690,30.000,30.000,0.000
2006-01-01 01:00:00,24.600,30.000,30.000,0.000
2006-01-01 01:10:00,24.560,30.000,30.000,0.000
2006-01-01 01:20:00,25.100,30.000,29.114,0.000
2006-01-01 01:30:00,25.460,30.000,30.000,0.000
2006-01-01 01:40:00,25.560,30.000,30.000,0.000
2006-01-01 01:50:00,25.690,30.000,30.000,0.000
2006-01-01 02:00:00,25.810,30.000,30.000,0.000
2006-01-01 02:10:00,26.060,29.319,29.105,0.000
2006-01-01 02:20:00,26.010,30.000,30.000,0.000
2006-01-01 02:30:00,25.680,30.000,29.920,0.000
2006-01-01 02:40:00,25.800,30.000,30.000,0.000
2006-01-01 02:50:00,25.880,30.000,30.000,0.000
2006-01-01 03:00:00,25.990,30.000,29.818,0.000
2006-01-01 03:10:00,26.330,21.357,22.150,0.000
2006-01-01 03:20:00,26.310,21.858,23.948,0.000
2006-01-01 03:30:00,26.490,16.554,14.228,0.000
2006-01-01 03:40:00,26.960, 3.033, 1.718,0.000
2006-01-01 03:50:00,26.840, 6.405, 7.100,0.000
2006-01-01 04:00:00,27.060, 0.090, 0.000,0.000
2006-01-01 04:10:00,27.030, 0.684, 0.000,0.000
2006-01-01 04:20:00,27.870, 0.000, 0.000,0.000
2006-01-01 04:30:00,28.760, 0.000, 0.000,0.000
2006-01-01 04:40:00,29.520, 0.000, 0.000,0.000
2006-01-01 04:50:00,29.640, 0.000, 0.000,0.000
2006-01-01 05:00:00,28.820, 0.000, 0.000,0.000
2006-01-01 05:10:00,27.800, 0.000, 0.000,0.000
2006-01-01 05:20:00,27.850, 0.000, 0.000,0.000
2006-01-01 05:30:00,28.180, 0.000, 0.000,0.000
2006-01-01 05:40:00,27.800, 0.000, 0.000,0.000
2006-01-01 05:50:00,27.160, 0.000, 0.000,0.000
2006-01-01 06:00:00,26.270,22.194,25.265,0.000
2006-01-01 06:10:00,25.160,30.000,29.907,0.000
2006-01-01 06:20:00,24.940,30.000,30.000,0.000
2006-01-01 06:30:00,25.610,30.000,29.684,0.000
2006-01-01 06:40:00,25.660,30.000,30.000,0.000
2006-01-01 06:50:00,25.590,30.000,30.000,0.000
2006-01-01 07:00:00,24.600,30.000,29.633,0.000
2006-01-01 07:10:00,23.060,30.000,30.000,0.000
2006-01-01 07:20:00,21.650,30.000,30.000,0.000
2006-01-01 07:30:00,20.650,30.000,30.000,30.000
2006-01-01 07:40:00,19.410,30.000,30.000,30.000
2006-01-01 07:50:00,18.310,30.000,30.000,30.000
