Date(YYYY-MM-DD hh:mm:ss),100m wind speed (m/s), rated power output at 100m (MW), SCORE-lite power output at 100m (MW),CorrectedScore
2006-01-01 00:00:00,20.410,30.000,28.823,28.823
2006-01-01 00:10:00,20.130,30.000,29.646,29.646
2006-01-01 00:20:00,19.770,30.000,30.000,30.000
2006-01-01 00:30:00,19.370,30.000,30.000,30.000
2006-01-01 00:40:00,19.030,30.000,29.750,29.750
2006-01-01 00:50:00,18.460,30.000,28.122,28.122
2006-01-01 01:00:00,18.150,30.000,30.000,30.000
2006-01-01 01:10:00,17.620,30.000,29.215,29.215
2006-01-01 01:20:00,17.140,29.997,30.000,30.000
2006-01-01 01:30:00,17.110,29.994,30.000,30.000
2006-01-01 01:40:00,17.360,30.000,30.000,30.000
2006-01-01 01:50:00,17.480,30.000,30.000,30.000
2006-01-01 02:00:00,16.950,29.988,28.812,28.812
2006-01-01 02:10:00,17.010,29.991,28.097,28.097
2006-01-01 02:20:00,16.660,29.976,28.897,28.897
2006-01-01 02:30:00,16.390,29.964,30.000,30.000
2006-01-01 02:40:00,15.970,29.913,30.000,30.000
2006-01-01 02:50:00,16.060,29.940,30.000,30.000
2006-01-01 03:00:00,16.900,29.988,30.000,30.000
2006-01-01 03:10:00,17.870,30.000,30.000,30.000
2006-01-01 03:20:00,18.480,30.000,30.000,30.000
2006-01-01 03:30:00,17.800,30.000,29.622,29.622
2006-01-01 03:40:00,17.360,30.000,30.000,30.000
2006-01-01 03:50:00,17.080,29.997,30.000,30.000
2006-01-01 04:00:00,17.200,30.000,30.000,30.000
2006-01-01 04:10:00,16.990,29.991,30.000,30.000
2006-01-01 04:20:00,16.740,29.979,30.000,30.000
2006-01-01 04:30:00,17.590,30.000,30.000,30.000
2006-01-01 04:40:00,18.100,30.000,29.466,29.466
2006-01-01 04:50:00,18.080,30.000,27.841,27.841
2006-01-01 05:00:00,17.900,30.000,27.497,27.497
2006-01-01 05:10:00,17.540,30.000,30.000,30.000
2006-01-01 05:20:00,16.990,29.991,30.000,30.000
2006-01-01 05:30:00,16.240,29.958,29.814,29.814
2006-01-01 05:40:00,15.700,29.841,29.672,29.672
2006-01-01 05:50:00,15.410,29.760,29.684,29.684
2006-01-01 06:00:00,15.400,29.757,27.304,27.304
2006-01-01 06:10:00,15.510,29.790,29.155,29.155
2006-01-01 06:20:00,15.510,29.790,30.000,30.000
2006-01-01 06:30:00,15.610,29.820,27.328,27.328
2006-01-01 06:40:00,15.160,29.694,30.000,30.000
2006-01-01 06:50:00,15.020,29.655,29.080,29.080
2006-01-01 07:00:00,15.090,29.673,30.000,30.000
2006-01-01 07:10:00,15.160,29.694,30.000,30.000
2006-01-01 07:20:00,15.310,29.736,30.000,30.000
2006-01-01 07:30:00,15.710,29.847,29.075,29.075
2006-01-01 07:40:00,16.170,29.955,30.000,30.000
2006-01-01 07:50:00,16.690,29.979,30.000,30.000
2006-01-01 08:00:00,17.140,30.000,30.000,30.000
2006-01-01 08:10:00,17.230,30.000,29.632,29.632
2006-01-01 08:20:00,16.710,29.979,30.000,30.000
2006-01-01 08:30:00,15.630,29.826,29.762,29.762
2006-01-01 08:40:00,15.110,29.676,29.208,29.208
2006-01-01 08:50:00,14.760,29.355,30.000,30.000
2006-01-01 09:00:00,14.440,28.977,27.602,27.602
2006-01-01 09:10:00,14.560,29.118,30.000,30.000
2006-01-01 09:20:00,15.040,29.658,30.000,30.000
2006-01-01 09:30:00,15.700,29.844,29.415,29.415
2006-01-01 09:40:00,16.040,29.940,30.000,30.000
2006-01-01 09:50:00,15.900,29.901,30.000,30.000
2006-01-01 10:00:00,15.210,29.709,30.000,30.000
2006-01-01 10:10:00,14.180,28.662,26.664,26.664
2006-01-01 10:20:00,13.200,26.349,26.988,26.988
2006-01-01 10:30:00,12.820,25.275,22.868,22.868
2006-01-01 10:40:00,12.770,25.080,23.631,23.631
2006-01-01 10:50:00,12.530,24.195,22.222,22.222
2006-01-01 11:00:00,12.590,24.417,24.195,24.195
2006-01-01 11:10:00,12.590,24.408,24.060,24.060
2006-01-01 11:20:00,12.160,22.785,21.908,21.908
2006-01-01 11:30:00,11.440,19.977,23.064,23.064
2006-01-01 11:40:00,10.520,16.254,13.694,13.694
2006-01-01 11:50:00,10.400,15.762,15.579,15.579
2006-01-01 12:00:00,10.780,17.328,18.768,18.768
2006-01-01 12:10:00,11.500,20.229,22.850,22.850
2006-01-01 12:20:00,12.270,23.193,22.558,22.558
2006-01-01 12:30:00,12.550,24.243,24.321,24.321
2006-01-01 12:40:00,12.830,25.263,25.068,25.068
2006-01-01 12:50:00,12.900,25.503,25.666,25.666
2006-01-01 13:00:00,12.770,25.050,24.481,24.481
2006-01-01 13:10:00,12.460,23.880,27.171,27.171
2006-01-01 13:20:00,11.920,21.891,22.368,22.368
2006-01-01 13:30:00,11.510,20.265,20.895,20.895
2006-01-01 13:40:00,11.540,20.400,20.231,20.231
2006-01-01 13:50:00,11.820,21.528,21.396,21.396
2006-01-01 14:00:00,11.960,22.050,26.787,26.787
2006-01-01 14:10:00,12.520,24.126,24.479,24.479
2006-01-01 14:20:00,12.480,23.970,25.625,25.625
2006-01-01 14:30:00,12.500,24.042,23.364,23.364
2006-01-01 14:40:00,13.490,27.111,26.477,26.477
2006-01-01 14:50:00,15.030,29.649,30.000,30.000
2006-01-01 15:00:00,15.770,29.856,30.000,30.000
2006-01-01 15:10:00,15.160,29.685,30.000,30.000
2006-01-01 15:20:00,14.560,29.073,30.000,30.000
2006-01-01 15:30:00,13.970,28.377,30.000,30.000
2006-01-01 15:40:00,14.320,28.803,29.066,29.066
2006-01-01 15:50:00,14.610,29.145,30.000,30.000
2006-01-01 16:00:00,15.080,29.664,29.991,29.991
2006-01-01 16:10:00,15.770,29.856,30.000,30.000
2006-01-01 16:20:00,16.440,29.964,29.556,29.556
2006-01-01 16:30:00,16.910,29.988,28.193,28.193
2006-01-01 16:40:00,16.480,29.967,29.405,29.405
2006-01-01 16:50:00,15.770,29.856,30.000,30.000
2006-01-01 17:00:00,15.660,29.823,29.085,29.085
2006-01-01 17:10:00,15.690,29.832,30.000,30.000
2006-01-01 17:20:00,15.620,29.814,28.694,28.694
2006-01-01 17:30:00,15.740,29.844,28.962,28.962
