Date(YYYY-MM-DD hh:mm:ss),100m wind speed (m/s), rated power output at 100m (MW), SCORE-lite power output at 100m (MW),CorrectedScore
2006-01-01 00:00:00,10.470,18.540,18.507,18.507
2006-01-01 00:10:00,10.650,19.350,18.872,18.872
2006-01-01 00:20:00,11.150,21.495,22.541,22.541
2006-01-01 00:30:00,11.580,23.205,23.490,23.490
2006-01-01 00:40:00,11.780,24.027,25.702,25.702
2006-01-01 00:50:00,12.020,24.957,23.281,23.281
2006-01-01 01:00:00,12.400,26.205,26.268,26.268
2006-01-01 01:10:00,13.120,28.293,30.000,30.000
2006-01-01 01:20:00,13.870,29.289,30.000,30.000
2006-01-01 01:30:00,14.270,29.688,30.000,30.000
2006-01-01 01:40:00,14.020,29.493,28.176,28.176
2006-01-01 01:50:00,12.760,27.282,28.407,28.407
2006-01-01 02:00:00,11.030,21.093,21.619,21.619
2006-01-01 02:10:00,9.280,13.530,16.449,16.449
2006-01-01 02:20:00,7.590, 7.362, 7.539,7.539
2006-01-01 02:30:00,8.170, 9.192, 9.116,9.116
2006-01-01 02:40:00,11.010,20.997,20.096,20.096
2006-01-01 02:50:00,12.950,27.816,29.088,29.088
2006-01-01 03:00:00,13.680,29.052,28.401,28.401
2006-01-01 03:10:00,14.090,29.562,29.708,29.708
2006-01-01 03:20:00,13.800,29.193,28.518,28.518
2006-01-01 03:30:00,13.490,28.797,29.090,29.090
2006-01-01 03:40:00,13.030,28.026,30.000,30.000
2006-01-01 03:50:00,12.720,27.132,24.122,24.122
2006-01-01 04:00:00,13.100,28.209,25.984,25.984
2006-01-01 04:10:00,13.540,28.860,30.000,30.000
2006-01-01 04:20:00,14.120,29.601,29.705,29.705
2006-01-01 04:30:00,14.580,29.775,29.772,29.772
2006-01-01 04:40:00,14.950,29.886,29.714,29.714
2006-01-01 04:50:00,15.640,29.973,30.000,30.000
2006-01-01 05:00:00,15.940,29.988,30.000,30.000
2006-01-01 05:10:00,16.370,30.000,30.000,30.000
2006-01-01 05:20:00,16.630,30.000,29.402,29.402
2006-01-01 05:30:00,16.700,30.000,28.937,28.937
2006-01-01 05:40:00,16.380,30.000,30.000,30.000
2006-01-01 05:50:00,15.880,29.985,30.000,30.000
2006-01-01 06:00:00,15.350,29.961,30.000,30.000
2006-01-01 06:10:00,15.060,29.925,27.722,27.722
2006-01-01 06:20:00,14.960,29.898,30.000,30.000
2006-01-01 06:30:00,14.600,29.790,28.763,28.763
2006-01-01 06:40:00,13.860,29.319,25.929,25.929
2006-01-01 06:50:00,13.060,28.212,29.197,29.197
2006-01-01 07:00:00,12.490,26.580,25.534,25.534
2006-01-01 07:10:00,12.440,26.421,27.797,27.797
2006-01-01 07:20:00,12.490,26.577,26.282,26.282
2006-01-01 07:30:00,12.170,25.644,27.273,27.273
2006-01-01 07:40:00,11.540,23.196,23.316,23.316
2006-01-01 07:50:00,10.990,20.961,21.031,21.031
2006-01-01 08:00:00,10.680,19.650,20.493,20.493
2006-01-01 08:10:00,10.060,16.944,15.293,15.293
2006-01-01 08:20:00,9.330,13.779,15.558,15.558
2006-01-01 08:30:00,8.710,11.298,10.373,10.373
2006-01-01 08:40:00,8.000, 8.613, 8.568,8.568
2006-01-01 08:50:00,6.680, 4.932, 4.665,4.665
2006-01-01 09:00:00,4.710, 1.524, 1.831,1.831
2006-01-01 09:10:00,2.920, 0.000, 0.000,0.000
2006-01-01 09:20:00,1.840, 0.000, 0.000,0.000
2006-01-01 09:30:00,1.400, 0.000, 0.000,0.000
2006-01-01 09:40:00,1.460, 0.000, 0.000,0.000
2006-01-01 09:50:00,1.670, 0.000, 0.000,0.000
2006-01-01 10:00:00,2.050, 0.000, 0.000,0.000
2006-01-01 10:10:00,2.440, 0.000, 0.000,0.000
2006-01-01 10:20:00,2.900, 0.000, 0.000,0.000
2006-01-01 10:30:00,3.900, 0.663, 0.523,0.523
2006-01-01 10:40:00,4.670, 1.476, 1.195,1.195
2006-01-01 10:50:00,5.030, 1.878, 2.067,2.067
2006-01-01 11:00:00,5.950, 3.363, 4.137,4.137
2006-01-01 11:10:00,7.290, 6.495, 7.054,7.054
2006-01-01 11:20:00,8.130, 9.057, 6.550,6.550
2006-01-01 11:30:00,8.990,12.387,12.535,12.535
2006-01-01 11:40:00,10.380,18.360,19.172,19.172
2006-01-01 11:50:00,11.080,21.360,19.629,19.629
2006-01-01 12:00:00,11.200,21.846,23.637,23.637
2006-01-01 12:10:00,11.130,21.555,22.621,22.621
2006-01-01 12:20:00,11.140,21.606,21.574,21.574
2006-01-01 12:30:00,11.590,23.400,24.857,24.857
2006-01-01 12:40:00,12.440,26.409,25.358,25.358
2006-01-01 12:50:00,13.060,28.209,30.000,30.000
2006-01-01 13:00:00,13.680,29.088,30.000,30.000
2006-01-01 13:10:00,14.200,29.673,30.000,30.000
2006-01-01 13:20:00,14.440,29.742,30.000,30.000
2006-01-01 13:30:00,14.290,29.700,29.679,29.679
2006-01-01 13:40:00,13.630,29.016,30.000,30.000
2006-01-01 13:50:00,12.910,27.774,30.000,30.000
2006-01-01 14:00:00,12.460,26.451,25.866,25.866
2006-01-01 14:10:00,12.390,26.274,23.664,23.664
2006-01-01 14:20:00,12.400,26.307,26.829,26.829
2006-01-01 14:30:00,12.390,26.271,26.033,26.033
2006-01-01 14:40:00,12.530,26.676,26.465,26.465
2006-01-01 14:50:00,12.740,27.279,28.376,28.376
2006-01-01 15:00:00,12.850,27.621,30.000,30.000
2006-01-01 15:10:00,12.840,27.573,27.437,27.437
2006-01-01 15:20:00,12.720,27.225,28.998,28.998
2006-01-01 15:30:00,12.410,26.325,29.349,29.349
2006-01-01 15:40:00,11.830,24.354,25.877,25.877
2006-01-01 15:50:00,11.180,21.795,21.643,21.643
2006-01-01 16:00:00,10.800,20.169,21.404,21.404
2006-01-01 16:10:00,10.560,19.149,19.862,19.862
2006-01-01 16:20:00,10.290,17.964,16.187,16.187
2006-01-01 16:30:00,9.960,16.509,16.980,16.980
2006-01-01 16:40:00,9.310,13.701,13.159,13.159
2006-01-01 16:50:00,8.410,10.134, 9.793,9.793
2006-01-01 17:00:00,7.580, 7.344, 7.490,7.490
2006-01-01 17:10:00,7.190, 6.171, 7.285,7.285
2006-01-01 17:20:00,7.060, 5.784, 6.805,6.805
2006-01-01 17:30:00,6.960, 5.562, 5.641,5.641
2006-01-01 17:40:00,6.950, 5.532, 5.184,5.184
2006-01-01 17:50:00,6.950, 5.529, 4.766,4.766
2006-01-01 18:00:00,6.870, 5.343, 5.638,5.638
2006-01-01 18:10:00,6.720, 4.998, 4.487,4.487
2006-01-01 18:20:00,6.420, 4.317, 4.397,4.397
2006-01-01 18:30:00,5.950, 3.336, 3.360,3.360
2006-01-01 18:40:00,5.530, 2.655, 2.239,2.239
2006-01-01 18:50:00,5.220, 2.148, 1.552,1.552
2006-01-01 19:00:00,5.070, 1.905, 0.000,0.000
2006-01-01 19:10:00,4.720, 1.515, 1.574,1.574
2006-01-01 19:20:00,4.660, 1.443, 0.000,0.000
2006-01-01 19:30:00,6.400, 4.281, 4.603,4.603
2006-01-01 19:40:00,7.600, 7.410, 6.403,6.403
2006-01-01 19:50:00,8.470,10.362, 9.872,9.872
2006-01-01 20:00:00,8.700,11.250,10.464,10.464
2006-01-01 20:10:00,8.470,10.338,10.460,10.460
2006-01-01 20:20:00,8.230, 9.405, 9.505,9.505
2006-01-01 20:30:00,8.390,10.038, 9.955,9.955
2006-01-01 20:40:00,8.720,11.274,11.381,11.381
2006-01-01 20:50:00,9.160,13.011,12.206,12.206
2006-01-01 21:00:00,9.660,15.147,15.798,15.798
2006-01-01 21:10:00,9.910,16.224,17.621,17.621
2006-01-01 21:20:00,9.880,16.080,16.096,16.096
2006-01-01 21:30:00,9.930,16.275,14.452,14.452
2006-01-01 21:40:00,10.120,17.076,17.079,17.079
2006-01-01 21:50:00,10.340,18.015,20.324,20.324
2006-01-01 22:00:00,10.340,18.021,16.276,16.276
2006-01-01 22:10:00,10.410,18.291,15.743,15.743
2006-01-01 22:20:00,10.500,18.678,20.721,20.721
2006-01-01 22:30:00,10.650,19.299,20.751,20.751
2006-01-01 22:40:00,10.960,20.646,20.434,20.434
2006-01-01 22:50:00,11.140,21.417,18.360,18.360
2006-01-01 23:00:00,11.150,21.426,21.964,21.964
2006-01-01 23:10:00,9.610,14.796,15.422,15.422
2006-01-01 23:20:00,7.680, 7.548, 7.159,7.159
2006-01-01 23:30:00,6.840, 5.235, 4.008,4.008
2006-01-01 23:40:00,6.030, 3.450, 1.622,1.622
2006-01-01 23:50:00,6.260, 3.924, 4.093,4.093
2006-01-02 00:00:00,8.400, 9.960, 8.633,8.633
2006-01-02 00:10:00,10.120,17.049,18.727,18.727
