Date(YYYY-MM-DD hh:mm:ss),100m wind speed (m/s), rated power output at 100m (MW), SCORE-lite power output at 100m (MW),CorrectedScore
2006-01-01 00:00:00,18.680,30.000,30.000,30.000
2006-01-01 00:10:00,22.390,30.000,27.783,27.783
2006-01-01 00:20:00,19.080,30.000,29.030,29.030
2006-01-01 00:30:00,19.160,30.000,30.000,30.000
2006-01-01 00:40:00,18.030,30.000,30.000,30.000
2006-01-01 00:50:00,17.680,30.000,26.469,26.469
2006-01-01 01:00:00,16.660,30.000,30.000,30.000
2006-01-01 01:10:00,17.640,30.000,30.000,30.000
2006-01-01 01:20:00,17.060,30.000,28.807,28.807
2006-01-01 01:30:00,15.690,29.967,30.000,30.000
2006-01-01 01:40:00,17.000,30.000,29.371,29.371
2006-01-01 01:50:00,16.090,29.988,29.809,29.809
2006-01-01 02:00:00,14.260,29.616,30.000,30.000
2006-01-01 02:10:00,13.970,29.250,29.563,29.563
2006-01-01 02:20:00,13.380,28.500,30.000,30.000
2006-01-01 02:30:00,12.680,26.688,23.747,23.747
2006-01-01 02:40:00,11.570,22.785,20.424,20.424
2006-01-01 02:50:00,10.810,19.686,20.045,20.045
2006-01-01 03:00:00,10.760,19.470,21.568,21.568
2006-01-01 03:10:00,10.120,16.752,17.139,17.139
2006-01-01 03:20:00,9.890,15.771,17.551,17.551
2006-01-01 03:30:00,9.940,15.990,13.936,13.936
2006-01-01 03:40:00,9.500,14.097,11.530,11.530
2006-01-01 03:50:00,8.790,11.241,12.353,12.353
2006-01-01 04:00:00,8.500,10.143, 7.993,7.993
2006-01-01 04:10:00,8.400, 9.765, 9.547,9.547
2006-01-01 04:20:00,8.490,10.101, 9.955,9.955
2006-01-01 04:30:00,8.560,10.362, 8.375,8.375
2006-01-01 04:40:00,8.380, 9.708, 8.632,8.632
2006-01-01 04:50:00,8.430, 9.903, 9.484,9.484
2006-01-01 05:00:00,8.510,10.203,10.348,10.348
2006-01-01 05:10:00,8.440, 9.909, 8.490,8.490
2006-01-01 05:20:00,8.500,10.155, 9.412,9.412
2006-01-01 05:30:00,8.520,10.215,10.473,10.473
2006-01-01 05:40:00,8.860,11.526,12.157,12.157
2006-01-01 05:50:00,9.350,13.464,13.368,13.368
2006-01-01 06:00:00,9.860,15.639,15.389,15.389
2006-01-01 06:10:00,10.200,17.091,16.142,16.142
2006-01-01 06:20:00,10.490,18.309,20.313,20.313
2006-01-01 06:30:00,10.630,18.930,17.767,17.767
2006-01-01 06:40:00,10.370,17.814,18.701,18.701
2006-01-01 06:50:00,10.200,17.109,14.539,14.539
2006-01-01 07:00:00,10.260,17.343,15.717,15.717
2006-01-01 07:10:00,10.470,18.243,23.702,23.702
2006-01-01 07:20:00,10.680,19.161,18.913,18.913
2006-01-01 07:30:00,11.150,21.165,21.977,21.977
2006-01-01 07:40:00,11.760,23.547,24.119,24.119
2006-01-01 07:50:00,12.450,26.025,25.367,25.367
2006-01-01 08:00:00,12.990,27.600,27.209,27.209
2006-01-01 08:10:00,13.690,28.905,29.484,29.484
2006-01-01 08:20:00,14.800,29.802,29.004,29.004
2006-01-01 08:30:00,15.160,29.907,30.000,30.000
2006-01-01 08:40:00,16.240,29.997,30.000,30.000
2006-01-01 08:50:00,16.540,30.000,30.000,30.000
2006-01-01 09:00:00,15.000,29.856,28.301,28.301
2006-01-01 09:10:00,14.570,29.730,29.046,29.046
2006-01-01 09:20:00,15.730,29.970,30.000,30.000
2006-01-01 09:30:00,16.160,29.991,30.000,30.000
2006-01-01 09:40:00,15.870,29.976,29.109,29.109
2006-01-01 09:50:00,15.590,29.964,30.000,30.000
2006-01-01 10:00:00,16.180,29.991,29.496,29.496
2006-01-01 10:10:00,16.410,30.000,28.949,28.949
2006-01-01 10:20:00,15.630,29.964,30.000,30.000
2006-01-01 10:30:00,17.260,30.000,29.456,29.456
2006-01-01 10:40:00,17.580,30.000,29.256,29.256
2006-01-01 10:50:00,18.510,30.000,30.000,30.000
2006-01-01 11:00:00,18.990,30.000,29.803,29.803
2006-01-01 11:10:00,18.950,30.000,28.833,28.833
2006-01-01 11:20:00,19.160,30.000,29.368,29.368
2006-01-01 11:30:00,19.160,30.000,30.000,30.000
2006-01-01 11:40:00,19.870,30.000,29.910,29.910
2006-01-01 11:50:00,20.130,30.000,29.800,29.800
2006-01-01 12:00:00,20.780,30.000,28.560,28.560
2006-01-01 12:10:00,22.010,30.000,30.000,30.000
2006-01-01 12:20:00,22.020,30.000,30.000,30.000
2006-01-01 12:30:00,21.840,30.000,30.000,30.000
2006-01-01 12:40:00,22.060,30.000,30.000,30.000
2006-01-01 12:50:00,21.370,30.000,30.000,30.000
2006-01-01 13:00:00,22.120,30.000,30.000,30.000
2006-01-01 13:10:00,22.060,30.000,29.379,29.379
2006-01-01 13:20:00,21.700,30.000,30.000,30.000
2006-01-01 13:30:00,22.640,30.000,30.000,30.000
2006-01-01 13:40:00,22.830,30.000,30.000,30.000
2006-01-01 13:50:00,22.380,30.000,30.000,30.000
2006-01-01 14:00:00,23.070,30.000,29.962,29.962
2006-01-01 14:10:00,23.040,30.000,29.640,29.640
2006-01-01 14:20:00,23.730,30.000,30.000,30.000
2006-01-01 14:30:00,24.150,30.000,30.000,30.000
2006-01-01 14:40:00,24.920,30.000,30.000,30.000
2006-01-01 14:50:00,28.350, 0.000, 0.000,0.000
2006-01-01 15:00:00,28.700, 0.000, 0.000,0.000
2006-01-01 15:10:00,28.360, 0.000, 0.000,0.000
2006-01-01 15:20:00,26.440, 4.413, 3.574,0.000
2006-01-01 15:30:00,29.340, 0.000, 0.000,0.000
2006-01-01 15:40:00,29.060, 0.000, 0.000,0.000
2006-01-01 15:50:00,29.980, 0.000, 0.000,0.000
2006-01-01 16:00:00,31.010, 0.000, 0.000,0.000
2006-01-01 16:10:00,31.440, 0.000, 0.000,0.000
2006-01-01 16:20:00,30.400, 0.000, 0.000,0.000
2006-01-01 16:30:00,29.270, 0.000, 0.000,0.000
2006-01-01 16:40:00,29.590, 0.000, 0.000,0.000
2006-01-01 16:50:00,29.050, 0.000, 0.000,0.000
2006-01-01 17:00:00,28.500, 0.000, 0.000,0.000
