Date(YYYY-MM-DD hh:mm:ss),100m wind speed (m/s), rated power output at 100m (MW), SCORE-lite power output at 100m (MW),CorrectedScore
2006-01-01 00:00:00,11.120,21.672,21.490,21.490
2006-01-01 00:10:00,10.950,20.973,22.441,22.441
2006-01-01 00:20:00,10.650,19.659,19.984,19.984
2006-01-01 00:30:00,10.510,19.089,18.414,18.414
2006-01-01 00:40:00,10.440,18.789,18.932,18.932
2006-01-01 00:50:00,10.150,17.535,14.643,14.643
2006-01-01 01:00:00,9.680,15.459,13.638,13.638
2006-01-01 01:10:00,9.120,13.050,10.933,10.933
2006-01-01 01:20:00,8.430,10.362, 9.976,9.976
2006-01-01 01:30:00,7.880, 8.370, 4.381,4.381
2006-01-01 01:40:00,7.220, 6.375, 5.981,5.981
2006-01-01 01:50:00,6.900, 5.523, 5.289,5.289
2006-01-01 02:00:00,6.800, 5.298, 5.801,5.801
2006-01-01 02:10:00,6.470, 4.539, 3.757,3.757
2006-01-01 02:20:00,6.390, 4.362, 4.003,4.003
2006-01-01 02:30:00,6.150, 3.819, 2.187,2.187
2006-01-01 02:40:00,6.070, 3.630, 3.407,3.407
2006-01-01 02:50:00,5.970, 3.444, 3.804,3.804
2006-01-01 03:00:00,6.130, 3.777, 4.876,4.876
2006-01-01 03:10:00,6.200, 3.936, 4.709,4.709
2006-01-01 03:20:00,5.990, 3.486, 3.347,3.347
2006-01-01 03:30:00,6.000, 3.501, 4.117,4.117
2006-01-01 03:40:00,6.050, 3.600, 4.347,4.347
2006-01-01 03:50:00,5.990, 3.489, 3.585,3.585
2006-01-01 04:00:00,6.240, 4.032, 2.356,2.356
2006-01-01 04:10:00,6.890, 5.508, 4.820,4.820
2006-01-01 04:20:00,7.530, 7.365, 4.656,4.656
2006-01-01 04:30:00,7.890, 8.460, 8.063,8.063
2006-01-01 04:40:00,7.700, 7.899, 6.326,6.326
2006-01-01 04:50:00,7.450, 7.134, 6.638,6.638
2006-01-01 05:00:00,7.220, 6.420, 6.897,6.897
2006-01-01 05:10:00,7.130, 6.162, 2.258,2.258
2006-01-01 05:20:00,7.200, 6.378, 7.135,7.135
2006-01-01 05:30:00,7.390, 6.969, 5.188,5.188
2006-01-01 05:40:00,7.700, 7.902, 9.008,9.008
2006-01-01 05:50:00,8.030, 8.898, 9.979,9.979
2006-01-01 06:00:00,8.030, 8.907, 7.497,7.497
2006-01-01 06:10:00,7.650, 7.755, 8.894,8.894
2006-01-01 06:20:00,7.530, 7.383, 6.286,6.286
2006-01-01 06:30:00,7.290, 6.672, 4.816,4.816
2006-01-01 06:40:00,7.370, 6.924, 8.371,8.371
2006-01-01 06:50:00,7.610, 7.635, 5.909,5.909
2006-01-01 07:00:00,7.640, 7.734, 7.699,7.699
2006-01-01 07:10:00,7.730, 8.010, 8.573,8.573
2006-01-01 07:20:00,8.050, 9.003, 6.174,6.174
2006-01-01 07:30:00,6.730, 5.175, 5.704,5.704
2006-01-01 07:40:00,6.130, 3.798, 3.795,3.795
2006-01-01 07:50:00,5.870, 3.297, 3.276,3.276
2006-01-01 08:00:00,5.120, 2.079, 1.238,1.238
2006-01-01 08:10:00,4.280, 1.080, 1.789,1.789
2006-01-01 08:20:00,6.300, 4.176, 4.681,4.681
2006-01-01 08:30:00,6.620, 4.890, 4.589,4.589
2006-01-01 08:40:00,6.620, 4.902, 4.590,4.590
2006-01-01 08:50:00,7.390, 6.939, 8.255,8.255
2006-01-01 09:00:00,8.180, 9.474, 7.066,7.066
2006-01-01 09:10:00,8.940,12.375, 6.648,6.648
2006-01-01 09:20:00,8.650,11.250,10.379,10.379
2006-01-01 09:30:00,8.590,11.043,11.358,11.358
2006-01-01 09:40:00,9.130,13.176,14.843,14.843
2006-01-01 09:50:00,8.360,10.116,10.146,10.146
2006-01-01 10:00:00,7.740, 7.980, 8.980,8.980
2006-01-01 10:10:00,7.850, 8.325, 5.806,5.806
2006-01-01 10:20:00,8.570,10.959,11.861,11.861
2006-01-01 10:30:00,9.490,14.730,12.965,12.965
2006-01-01 10:40:00,9.420,14.403,15.977,15.977
2006-01-01 10:50:00,9.030,12.708,10.430,10.430
2006-01-01 11:00:00,8.510,10.650, 9.589,9.589
2006-01-01 11:10:00,9.800,16.020,14.916,14.916
2006-01-01 11:20:00,9.770,15.870,16.666,16.666
2006-01-01 11:30:00,9.830,16.128,16.715,16.715
2006-01-01 11:40:00,10.150,17.532,19.597,19.597
2006-01-01 11:50:00,9.030,12.711,11.709,11.709
2006-01-01 12:00:00,8.750,11.604,13.468,13.468
2006-01-01 12:10:00,8.770,11.682,10.395,10.395
2006-01-01 12:20:00,9.790,15.960,16.758,16.758
2006-01-01 12:30:00,10.490,19.008,18.468,18.468
2006-01-01 12:40:00,10.950,20.979,19.788,19.788
2006-01-01 12:50:00,11.580,23.499,25.262,25.262
2006-01-01 13:00:00,11.840,24.528,26.377,26.377
2006-01-01 13:10:00,11.110,21.618,20.250,20.250
2006-01-01 13:20:00,11.790,24.360,22.857,22.857
2006-01-01 13:30:00,11.970,25.056,27.511,27.511
2006-01-01 13:40:00,12.660,27.150,24.349,24.349
2006-01-01 13:50:00,12.990,28.146,27.318,27.318
2006-01-01 14:00:00,12.750,27.435,28.983,28.983
2006-01-01 14:10:00,12.780,27.531,25.649,25.649
2006-01-01 14:20:00,13.000,28.152,26.790,26.790
2006-01-01 14:30:00,12.880,27.798,26.933,26.933
2006-01-01 14:40:00,12.620,27.039,27.340,27.340
2006-01-01 14:50:00,14.170,29.670,28.963,28.963
2006-01-01 15:00:00,14.110,29.655,30.000,30.000
2006-01-01 15:10:00,13.770,29.229,30.000,30.000
2006-01-01 15:20:00,15.990,29.994,30.000,30.000
2006-01-01 15:30:00,16.330,30.000,30.000,30.000
2006-01-01 15:40:00,16.840,30.000,30.000,30.000
2006-01-01 15:50:00,15.480,29.967,29.049,29.049
2006-01-01 16:00:00,16.150,30.000,30.000,30.000
2006-01-01 16:10:00,16.210,30.000,30.000,30.000
2006-01-01 16:20:00,15.940,29.991,30.000,30.000
2006-01-01 16:30:00,15.850,29.985,28.874,28.874
2006-01-01 16:40:00,16.040,29.997,29.314,29.314
2006-01-01 16:50:00,18.080,30.000,30.000,30.000
2006-01-01 17:00:00,18.490,30.000,29.177,29.177
2006-01-01 17:10:00,17.590,30.000,28.474,28.474
2006-01-01 17:20:00,17.800,30.000,29.026,29.026
2006-01-01 17:30:00,16.890,30.000,30.000,30.000
2006-01-01 17:40:00,16.700,30.000,29.048,29.048
2006-01-01 17:50:00,16.490,30.000,29.787,29.787
2006-01-01 18:00:00,16.190,30.000,30.000,30.000
2006-01-01 18:10:00,16.630,30.000,30.000,30.000
2006-01-01 18:20:00,16.780,30.000,30.000,30.000
2006-01-01 18:30:00,16.200,30.000,30.000,30.000
2006-01-01 18:40:00,14.660,29.811,30.000,30.000
2006-01-01 18:50:00,14.310,29.709,30.000,30.000
2006-01-01 19:00:00,12.430,26.442,25.375,25.375
2006-01-01 19:10:00,12.780,27.432,26.208,26.208
2006-01-01 19:20:00,14.360,29.721,30.000,30.000
2006-01-01 19:30:00,15.190,29.952,30.000,30.000
2006-01-01 19:40:00,14.940,29.895,29.157,29.157
2006-01-01 19:50:00,14.220,29.676,30.000,30.000
2006-01-01 20:00:00,12.610,26.868,27.082,27.082
2006-01-01 20:10:00,11.000,20.997,21.068,21.068
2006-01-01 20:20:00,9.430,14.226,18.004,18.004
2006-01-01 20:30:00,8.400,10.110,10.972,10.972
2006-01-01 20:40:00,7.930, 8.448, 4.073,4.073
2006-01-01 20:50:00,8.540,10.647,11.091,11.091
2006-01-01 21:00:00,10.390,18.318,21.333,21.333
2006-01-01 21:10:00,10.030,16.800,15.373,15.373
2006-01-01 21:20:00,10.230,17.631,16.282,16.282
2006-01-01 21:30:00,10.300,17.922,17.070,17.070
2006-01-01 21:40:00,9.940,16.389,16.767,16.767
2006-01-01 21:50:00,9.620,15.042,13.310,13.310
2006-01-01 22:00:00,9.620,15.033,14.598,14.598
2006-01-01 22:10:00,9.650,15.174,13.909,13.909
2006-01-01 22:20:00,9.270,13.569,14.373,14.373
2006-01-01 22:30:00,10.100,17.124,18.115,18.115
2006-01-01 22:40:00,9.720,15.486,14.262,14.262
2006-01-01 22:50:00,7.970, 8.583, 9.211,9.211
2006-01-01 23:00:00,7.920, 8.436, 7.979,7.979
2006-01-01 23:10:00,7.480, 7.113, 8.904,8.904
2006-01-01 23:20:00,8.050, 8.871, 8.644,8.644
2006-01-01 23:30:00,7.710, 7.860, 7.238,7.238
2006-01-01 23:40:00,7.500, 7.230, 7.215,7.215
2006-01-01 23:50:00,7.350, 6.789, 6.592,6.592
2006-01-02 00:00:00,8.160, 9.363,11.101,11.101
2006-01-02 00:10:00,8.710,11.484,10.069,10.069
2006-01-02 00:20:00,8.460,10.536,12.923,12.923
2006-01-02 00:30:00,7.810, 8.208, 9.689,9.689
2006-01-02 00:40:00,7.380, 6.882, 5.385,5.385
2006-01-02 00:50:00,7.220, 6.393, 6.843,6.843
2006-01-02 01:00:00,7.950, 8.622, 6.268,6.268
2006-01-02 01:10:00,8.530,10.770, 8.888,8.888
2006-01-02 01:20:00,8.710,11.469,11.651,11.651
2006-01-02 01:30:00,8.860,12.051,11.152,11.152
2006-01-02 01:40:00,9.230,13.599,16.168,16.168
2006-01-02 01:50:00,9.710,15.678,16.221,16.221
2006-01-02 02:00:00,9.630,15.339,15.348,15.348
2006-01-02 02:10:00,9.360,14.187,14.378,14.378
2006-01-02 02:20:00,9.170,13.356,11.987,11.987
2006-01-02 02:30:00,9.500,14.772,16.113,16.113
2006-01-02 02:40:00,9.700,15.624,16.984,16.984
2006-01-02 02:50:00,10.410,18.690,18.818,18.818
2006-01-02 03:00:00,11.230,22.146,23.411,23.411
2006-01-02 03:10:00,11.300,22.425,20.952,20.952
2006-01-02 03:20:00,11.950,25.020,25.485,25.485
2006-01-02 03:30:00,13.000,28.185,28.486,28.486
2006-01-02 03:40:00,11.200,22.026,23.085,23.085
2006-01-02 03:50:00,11.190,21.957,22.478,22.478
2006-01-02 04:00:00,12.130,25.626,24.434,24.434
2006-01-02 04:10:00,11.100,21.606,21.856,21.856
2006-01-02 04:20:00,9.760,15.813,15.511,15.511
2006-01-02 04:30:00,11.240,22.176,24.939,24.939
2006-01-02 04:40:00,13.330,28.704,27.937,27.937
2006-01-02 04:50:00,13.810,29.316,30.000,30.000
2006-01-02 05:00:00,14.420,29.754,29.697,29.697
2006-01-02 05:10:00,14.760,29.853,29.988,29.988
2006-01-02 05:20:00,12.960,28.056,28.948,28.948
2006-01-02 05:30:00,12.530,26.784,28.259,28.259
2006-01-02 05:40:00,12.260,25.995,23.689,23.689
2006-01-02 05:50:00,12.970,28.068,28.588,28.588
2006-01-02 06:00:00,13.790,29.280,28.853,28.853
2006-01-02 06:10:00,15.120,29.952,30.000,30.000
2006-01-02 06:20:00,15.960,29.994,30.000,30.000
2006-01-02 06:30:00,16.890,30.000,30.000,30.000
2006-01-02 06:40:00,16.070,29.997,30.000,30.000
2006-01-02 06:50:00,14.290,29.703,30.000,30.000
2006-01-02 07:00:00,14.590,29.793,30.000,30.000
2006-01-02 07:10:00,15.500,29.970,30.000,30.000
2006-01-02 07:20:00,16.080,29.997,30.000,30.000
2006-01-02 07:30:00,16.370,30.000,29.837,29.837
2006-01-02 07:40:00,16.990,30.000,29.787,29.787
2006-01-02 07:50:00,16.610,30.000,30.000,30.000
2006-01-02 08:00:00,18.510,30.000,28.731,28.731
2006-01-02 08:10:00,17.080,30.000,29.689,29.689
2006-01-02 08:20:00,16.320,30.000,30.000,30.000
2006-01-02 08:30:00,15.740,29.979,29.303,29.303
2006-01-02 08:40:00,18.290,30.000,30.000,30.000
2006-01-02 08:50:00,17.760,30.000,30.000,30.000
2006-01-02 09:00:00,17.690,30.000,30.000,30.000
2006-01-02 09:10:00,18.490,30.000,28.339,28.339
2006-01-02 09:20:00,17.720,30.000,30.000,30.000
2006-01-02 09:30:00,15.780,29.982,30.000,30.000
2006-01-02 09:40:00,17.980,30.000,30.000,30.000
2006-01-02 09:50:00,18.770,30.000,30.000,30.000
2006-01-02 10:00:00,16.790,30.000,30.000,30.000
2006-01-02 10:10:00,15.990,29.991,30.000,30.000
2006-01-02 10:20:00,15.550,29.970,30.000,30.000
2006-01-02 10:30:00,16.160,30.000,29.634,29.634
2006-01-02 10:40:00,18.590,30.000,29.002,29.002
2006-01-02 10:50:00,19.430,30.000,30.000,30.000
2006-01-02 11:00:00,14.510,29.754,30.000,30.000
2006-01-02 11:10:00,18.550,30.000,30.000,30.000
2006-01-02 11:20:00,17.380,30.000,30.000,30.000
2006-01-02 11:30:00,17.940,30.000,30.000,30.000
2006-01-02 11:40:00,17.730,30.000,28.557,28.557
2006-01-02 11:50:00,17.410,30.000,29.922,29.922
2006-01-02 12:00:00,18.290,30.000,29.107,29.107
2006-01-02 12:10:00,16.820,30.000,29.551,29.551
2006-01-02 12:20:00,15.630,29.973,28.176,28.176
2006-01-02 12:30:00,16.020,29.994,30.000,30.000
2006-01-02 12:40:00,15.000,29.907,29.134,29.134
2006-01-02 12:50:00,17.490,30.000,28.918,28.918
2006-01-02 13:00:00,15.140,29.946,30.000,30.000
2006-01-02 13:10:00,14.400,29.730,30.000,30.000
2006-01-02 13:20:00,15.690,29.976,30.000,30.000
2006-01-02 13:30:00,15.990,29.991,30.000,30.000
2006-01-02 13:40:00,11.080,21.414,23.076,23.076
2006-01-02 13:50:00,11.820,24.300,24.970,24.970
2006-01-02 14:00:00,16.580,30.000,28.973,28.973
2006-01-02 14:10:00,10.370,18.378,18.829,18.829
2006-01-02 14:20:00,10.680,19.725,22.657,22.657
2006-01-02 14:30:00,10.010,16.866,18.173,18.173
2006-01-02 14:40:00,11.150,21.777,21.173,21.173
2006-01-02 14:50:00,12.450,26.550,24.099,24.099
2006-01-02 15:00:00,11.520,23.304,24.703,24.703
2006-01-02 15:10:00,12.420,26.469,26.276,26.276
2006-01-02 15:20:00,12.450,26.580,26.403,26.403
2006-01-02 15:30:00,12.670,27.207,28.129,28.129
2006-01-02 15:40:00,11.580,23.514,24.713,24.713
2006-01-02 15:50:00,10.360,18.438,19.170,19.170
2006-01-02 16:00:00,12.070,25.482,27.238,27.238
2006-01-02 16:10:00,11.460,23.058,26.544,26.544
2006-01-02 16:20:00,10.840,20.505,23.075,23.075
2006-01-02 16:30:00,10.830,20.481,22.968,22.968
2006-01-02 16:40:00,10.890,20.766,21.050,21.050
2006-01-02 16:50:00,11.890,24.780,26.960,26.960
2006-01-02 17:00:00,10.300,18.207,19.889,19.889
2006-01-02 17:10:00,8.760,11.649,11.787,11.787
2006-01-02 17:20:00,8.430,10.386,10.438,10.438
2006-01-02 17:30:00,8.280, 9.822, 8.467,8.467
2006-01-02 17:40:00,8.410,10.320,10.040,10.040
2006-01-02 17:50:00,8.060, 8.952, 8.751,8.751
2006-01-02 18:00:00,7.930, 8.541, 5.372,5.372
2006-01-02 18:10:00,8.190, 9.477,10.483,10.483
2006-01-02 18:20:00,8.160, 9.366, 7.120,7.120
2006-01-02 18:30:00,7.190, 6.303, 4.995,4.995
2006-01-02 18:40:00,7.190, 6.300, 6.958,6.958
2006-01-02 18:50:00,7.300, 6.642, 6.428,6.428
2006-01-02 19:00:00,6.490, 4.608, 4.480,4.480
2006-01-02 19:10:00,6.380, 4.338, 4.931,4.931
2006-01-02 19:20:00,6.050, 3.600, 2.009,2.009
2006-01-02 19:30:00,6.310, 4.179, 4.373,4.373
2006-01-02 19:40:00,7.440, 7.059, 6.606,6.606
2006-01-02 19:50:00,7.180, 6.294, 5.683,5.683
2006-01-02 20:00:00,7.210, 6.390, 3.337,3.337
2006-01-02 20:10:00,6.620, 4.914, 4.533,4.533
2006-01-02 20:20:00,6.250, 4.062, 0.045,0.045
2006-01-02 20:30:00,6.480, 4.590, 3.950,3.950
2006-01-02 20:40:00,7.400, 6.972, 8.977,8.977
2006-01-02 20:50:00,8.040, 8.931, 6.954,6.954
2006-01-02 21:00:00,8.450,10.524, 9.984,9.984
2006-01-02 21:10:00,9.180,13.464,13.152,13.152
2006-01-02 21:20:00,7.050, 5.919, 6.140,6.140
2006-01-02 21:30:00,6.790, 5.304, 4.764,4.764
2006-01-02 21:40:00,6.440, 4.497, 4.581,4.581
2006-01-02 21:50:00,7.290, 6.657, 6.277,6.277
2006-01-02 22:00:00,8.010, 8.826, 9.737,9.737
2006-01-02 22:10:00,7.740, 8.016, 8.544,8.544
2006-01-02 22:20:00,8.580,11.040,10.537,10.537
2006-01-02 22:30:00,8.110, 9.207, 3.188,3.188
2006-01-02 22:40:00,8.360,10.176, 7.504,7.504
2006-01-02 22:50:00,9.350,14.187,13.234,13.234
2006-01-02 23:00:00,9.110,13.137,12.915,12.915
2006-01-02 23:10:00,9.080,13.014,10.517,10.517
2006-01-02 23:20:00,8.850,12.102,11.653,11.653
2006-01-02 23:30:00,8.730,11.616,12.122,12.122
2006-01-02 23:40:00,8.890,12.258,12.474,12.474
2006-01-02 23:50:00,9.040,12.831,16.142,16.142
2006-01-03 00:00:00,9.000,12.678,11.221,11.221
2006-01-03 00:10:00,8.960,12.543,12.563,12.563
2006-01-03 00:20:00,8.970,12.564,13.142,13.142
2006-01-03 00:30:00,9.010,12.741,11.850,11.850
2006-01-03 00:40:00,9.210,13.587,14.581,14.581
2006-01-03 00:50:00,9.010,12.762,13.418,13.418
2006-01-03 01:00:00,8.660,11.382,11.430,11.430
2006-01-03 01:10:00,8.330,10.113, 9.874,9.874
2006-01-03 01:20:00,8.060, 9.084, 9.280,9.280
2006-01-03 01:30:00,8.040, 9.030, 8.336,8.336
2006-01-03 01:40:00,8.140, 9.426, 9.485,9.485
2006-01-03 01:50:00,8.120, 9.351, 9.609,9.609
2006-01-03 02:00:00,8.170, 9.549, 9.802,9.802
2006-01-03 02:10:00,8.290,10.008,11.109,11.109
2006-01-03 02:20:00,8.430,10.572,10.755,10.755
2006-01-03 02:30:00,8.450,10.644,11.824,11.824
