Date(YYYY-MM-DD hh:mm:ss),100m wind speed (m/s), rated power output at 100m (MW), SCORE-lite power output at 100m (MW),CorrectedScore
2006-01-01 00:00:00,16.350,29.979,29.046,29.046
2006-01-01 00:10:00,16.020,29.964,30.000,30.000
2006-01-01 00:20:00,16.210,29.973,30.000,30.000
2006-01-01 00:30:00,16.240,29.973,29.752,29.752
2006-01-01 00:40:00,16.310,29.976,29.836,29.836
2006-01-01 00:50:00,16.110,29.967,30.000,30.000
2006-01-01 01:00:00,15.480,29.871,28.014,28.014
2006-01-01 01:10:00,14.990,29.730,30.000,30.000
2006-01-01 01:20:00,15.220,29.799,29.957,29.957
2006-01-01 01:30:00,15.010,29.742,30.000,30.000
2006-01-01 01:40:00,14.930,29.724,30.000,30.000
2006-01-01 01:50:00,15.170,29.790,30.000,30.000
2006-01-01 02:00:00,15.350,29.844,27.914,27.914
2006-01-01 02:10:00,15.570,29.904,29.765,29.765
2006-01-01 02:20:00,15.420,29.862,30.000,30.000
2006-01-01 02:30:00,15.040,29.757,30.000,30.000
2006-01-01 02:40:00,14.670,29.640,30.000,30.000
2006-01-01 02:50:00,14.500,29.436,29.007,29.007
2006-01-01 03:00:00,14.480,29.418,28.691,28.691
2006-01-01 03:10:00,14.370,29.277,29.468,29.468
2006-01-01 03:20:00,14.370,29.271,30.000,30.000
2006-01-01 03:30:00,14.550,29.493,30.000,30.000
2006-01-01 03:40:00,14.690,29.652,28.635,28.635
2006-01-01 03:50:00,14.600,29.562,28.994,28.994
2006-01-01 04:00:00,14.140,28.998,28.890,28.890
2006-01-01 04:10:00,13.550,28.170,28.507,28.507
2006-01-01 04:20:00,12.990,26.592,25.429,25.429
2006-01-01 04:30:00,12.500,25.167,24.412,24.412
2006-01-01 04:40:00,12.360,24.639,25.095,25.095
2006-01-01 04:50:00,12.540,25.320,24.689,24.689
2006-01-01 05:00:00,13.090,26.868,27.999,27.999
2006-01-01 05:10:00,13.320,27.516,30.000,30.000
2006-01-01 05:20:00,13.300,27.447,27.672,27.672
2006-01-01 05:30:00,12.970,26.526,26.638,26.638
2006-01-01 05:40:00,12.710,25.794,26.348,26.348
2006-01-01 05:50:00,12.640,25.602,23.144,23.144
2006-01-01 06:00:00,12.610,25.524,25.858,25.858
2006-01-01 06:10:00,12.300,24.351,25.402,25.402
2006-01-01 06:20:00,12.100,23.622,24.458,24.458
2006-01-01 06:30:00,12.270,24.261,24.531,24.531
2006-01-01 06:40:00,12.400,24.732,26.739,26.739
2006-01-01 06:50:00,12.320,24.414,25.870,25.870
2006-01-01 07:00:00,12.030,23.340,23.045,23.045
2006-01-01 07:10:00,11.960,23.079,22.865,22.865
2006-01-01 07:20:00,12.290,24.330,24.585,24.585
2006-01-01 07:30:00,12.530,25.230,23.745,23.745
2006-01-01 07:40:00,12.620,25.539,25.436,25.436
2006-01-01 07:50:00,12.640,25.584,24.414,24.414
2006-01-01 08:00:00,12.710,25.776,25.821,25.821
2006-01-01 08:10:00,12.660,25.641,27.854,27.854
2006-01-01 08:20:00,12.850,26.166,30.000,30.000
2006-01-01 08:30:00,12.780,25.971,25.841,25.841
2006-01-01 08:40:00,12.710,25.764,24.545,24.545
2006-01-01 08:50:00,12.970,26.478,28.932,28.932
2006-01-01 09:00:00,13.170,27.051,25.963,25.963
2006-01-01 09:10:00,13.160,27.033,26.085,26.085
2006-01-01 09:20:00,12.800,26.004,25.473,25.473
2006-01-01 09:30:00,12.690,25.710,25.788,25.788
2006-01-01 09:40:00,12.660,25.620,26.739,26.739
2006-01-01 09:50:00,12.340,24.480,25.105,25.105
2006-01-01 10:00:00,12.170,23.835,26.527,26.527
2006-01-01 10:10:00,11.880,22.749,22.492,22.492
2006-01-01 10:20:00,11.650,21.840,21.549,21.549
2006-01-01 10:30:00,11.650,21.852,23.661,23.661
2006-01-01 10:40:00,11.570,21.540,22.790,22.790
2006-01-01 10:50:00,11.410,20.913,20.769,20.769
2006-01-01 11:00:00,11.530,21.381,24.182,24.182
2006-01-01 11:10:00,11.480,21.189,21.506,21.506
2006-01-01 11:20:00,11.710,22.101,21.049,21.049
2006-01-01 11:30:00,11.620,21.723,22.207,22.207
2006-01-01 11:40:00,11.420,20.958,24.937,24.937
2006-01-01 11:50:00,11.380,20.769,22.907,22.907
2006-01-01 12:00:00,11.150,19.830,18.435,18.435
2006-01-01 12:10:00,11.050,19.398,20.587,20.587
2006-01-01 12:20:00,10.950,19.002,21.419,21.419
2006-01-01 12:30:00,10.980,19.131,19.265,19.265
2006-01-01 12:40:00,11.110,19.650,22.019,22.019
2006-01-01 12:50:00,10.980,19.143,18.234,18.234
2006-01-01 13:00:00,10.980,19.137,18.897,18.897
2006-01-01 13:10:00,11.050,19.446,19.090,19.090
2006-01-01 13:20:00,11.330,20.568,19.609,19.609
2006-01-01 13:30:00,11.490,21.261,21.713,21.713
2006-01-01 13:40:00,11.620,21.771,22.424,22.424
2006-01-01 13:50:00,12.010,23.247,23.533,23.533
2006-01-01 14:00:00,12.280,24.267,24.795,24.795
2006-01-01 14:10:00,12.610,25.509,26.887,26.887
2006-01-01 14:20:00,12.650,25.623,26.416,26.416
2006-01-01 14:30:00,12.810,26.091,24.724,24.724
2006-01-01 14:40:00,13.100,26.877,25.920,25.920
2006-01-01 14:50:00,13.060,26.775,28.086,28.086
2006-01-01 15:00:00,12.930,26.421,24.972,24.972
2006-01-01 15:10:00,12.980,26.562,26.663,26.663
2006-01-01 15:20:00,12.780,25.995,25.612,25.612
2006-01-01 15:30:00,12.680,25.722,24.067,24.067
