Date(YYYY-MM-DD hh:mm:ss),100m wind speed (m/s), rated power output at 100m (MW), SCORE-lite power output at 100m (MW),CorrectedScore
2006-01-01 00:00:00,22.900,30.000,28.953,28.953
2006-01-01 00:10:00,23.000,30.000,30.000,30.000
2006-01-01 00:20:00,22.590,30.000,30.000,30.000
2006-01-01 00:30:00,22.440,30.000,29.524,29.524
2006-01-01 00:40:00,22.640,30.000,30.000,30.000
2006-01-01 00:50:00,22.510,30.000,30.000,30.000
2006-01-01 01:00:00,21.920,30.000,30.000,30.000
2006-01-01 01:10:00,20.510,30.000,28.794,28.794
2006-01-01 01:20:00,19.900,30.000,30.000,30.000
2006-01-01 01:30:00,19.380,30.000,28.565,28.565
2006-01-01 01:40:00,19.460,30.000,30.000,30.000
2006-01-01 01:50:00,19.640,30.000,27.649,27.649
2006-01-01 02:00:00,19.900,30.000,30.000,30.000
2006-01-01 02:10:00,19.460,30.000,30.000,30.000
2006-01-01 02:20:00,19.300,30.000,27.811,27.811
2006-01-01 02:30:00,19.160,30.000,29.181,29.181
2006-01-01 02:40:00,18.990,30.000,29.314,29.314
2006-01-01 02:50:00,19.030,30.000,30.000,30.000
2006-01-01 03:00:00,18.200,30.000,30.000,30.000
2006-01-01 03:10:00,17.630,30.000,27.604,27.604
2006-01-01 03:20:00,17.250,30.000,30.000,30.000
2006-01-01 03:30:00,16.820,30.000,30.000,30.000
2006-01-01 03:40:00,16.350,29.988,30.000,30.000
2006-01-01 03:50:00,16.070,29.973,29.535,29.535
2006-01-01 04:00:00,15.190,29.844,30.000,30.000
2006-01-01 04:10:00,14.450,29.553,30.000,30.000
2006-01-01 04:20:00,14.340,29.418,30.000,30.000
2006-01-01 04:30:00,14.290,29.358,29.228,29.228
2006-01-01 04:40:00,13.810,28.767,27.706,27.706
2006-01-01 04:50:00,13.040,27.105,30.000,30.000
2006-01-01 05:00:00,12.120,24.186,25.468,25.468
2006-01-01 05:10:00,11.710,22.608,22.978,22.978
2006-01-01 05:20:00,11.710,22.578,22.084,22.084
2006-01-01 05:30:00,11.590,22.149,20.258,20.258
2006-01-01 05:40:00,11.280,20.898,22.114,22.114
2006-01-01 05:50:00,11.610,22.227,22.502,22.502
2006-01-01 06:00:00,11.960,23.547,26.429,26.429
2006-01-01 06:10:00,12.110,24.123,25.059,25.059
2006-01-01 06:20:00,12.290,24.804,26.700,26.700
2006-01-01 06:30:00,12.240,24.630,24.905,24.905
2006-01-01 06:40:00,11.830,23.067,22.613,22.613
2006-01-01 06:50:00,11.520,21.870,22.787,22.787
2006-01-01 07:00:00,11.460,21.621,21.196,21.196
2006-01-01 07:10:00,11.540,21.921,23.439,23.439
2006-01-01 07:20:00,11.640,22.341,23.532,23.532
2006-01-01 07:30:00,11.730,22.677,21.941,21.941
2006-01-01 07:40:00,11.660,22.404,23.836,23.836
2006-01-01 07:50:00,11.490,21.738,23.135,23.135
2006-01-01 08:00:00,11.400,21.411,26.663,26.663
2006-01-01 08:10:00,11.260,20.805,21.672,21.672
2006-01-01 08:20:00,11.460,21.609,25.002,25.002
2006-01-01 08:30:00,11.850,23.118,22.220,22.220
2006-01-01 08:40:00,12.270,24.744,27.747,27.747
2006-01-01 08:50:00,12.590,25.836,29.492,29.492
2006-01-01 09:00:00,13.180,27.516,26.801,26.801
2006-01-01 09:10:00,13.910,28.893,29.851,29.851
2006-01-01 09:20:00,14.440,29.544,30.000,30.000
2006-01-01 09:30:00,14.640,29.682,30.000,30.000
2006-01-01 09:40:00,14.550,29.658,29.626,29.626
2006-01-01 09:50:00,14.080,29.109,30.000,30.000
2006-01-01 10:00:00,13.620,28.539,29.036,29.036
2006-01-01 10:10:00,13.330,27.942,27.914,27.914
2006-01-01 10:20:00,13.180,27.510,27.999,27.999
2006-01-01 10:30:00,13.060,27.180,29.040,29.040
2006-01-01 10:40:00,12.930,26.823,28.040,28.040
2006-01-01 10:50:00,12.890,26.700,24.246,24.246
2006-01-01 11:00:00,12.870,26.634,27.631,27.631
2006-01-01 11:10:00,12.900,26.727,30.000,30.000
2006-01-01 11:20:00,12.890,26.712,26.996,26.996
2006-01-01 11:30:00,12.870,26.658,30.000,30.000
2006-01-01 11:40:00,12.850,26.613,25.558,25.558
2006-01-01 11:50:00,12.810,26.496,26.865,26.865
2006-01-01 12:00:00,12.710,26.202,26.561,26.561
2006-01-01 12:10:00,12.680,26.130,26.730,26.730
2006-01-01 12:20:00,12.580,25.839,26.656,26.656
2006-01-01 12:30:00,12.480,25.560,24.830,24.830
2006-01-01 12:40:00,12.480,25.566,26.062,26.062
2006-01-01 12:50:00,12.680,26.130,28.180,28.180
2006-01-01 13:00:00,12.800,26.451,27.454,27.454
2006-01-01 13:10:00,12.820,26.520,25.323,25.323
2006-01-01 13:20:00,12.880,26.676,27.956,27.956
2006-01-01 13:30:00,12.870,26.646,30.000,30.000
2006-01-01 13:40:00,12.970,26.928,27.884,27.884
2006-01-01 13:50:00,13.120,27.363,27.814,27.814
2006-01-01 14:00:00,13.270,27.777,29.233,29.233
2006-01-01 14:10:00,13.380,28.110,28.339,28.339
2006-01-01 14:20:00,13.450,28.305,28.277,28.277
2006-01-01 14:30:00,13.440,28.284,30.000,30.000
2006-01-01 14:40:00,13.430,28.251,30.000,30.000
2006-01-01 14:50:00,13.420,28.200,26.932,26.932
2006-01-01 15:00:00,13.300,27.876,27.833,27.833
2006-01-01 15:10:00,13.130,27.381,27.469,27.469
2006-01-01 15:20:00,12.960,26.904,27.795,27.795
2006-01-01 15:30:00,12.830,26.541,27.227,27.227
2006-01-01 15:40:00,12.660,26.067,26.793,26.793
2006-01-01 15:50:00,12.460,25.491,23.559,23.559
2006-01-01 16:00:00,12.340,25.035,25.672,25.672
2006-01-01 16:10:00,12.250,24.696,22.848,22.848
2006-01-01 16:20:00,12.130,24.213,26.095,26.095
2006-01-01 16:30:00,11.960,23.565,21.066,21.066
2006-01-01 16:40:00,11.670,22.434,23.043,23.043
2006-01-01 16:50:00,11.410,21.432,23.306,23.306
2006-01-01 17:00:00,11.220,20.622,20.267,20.267
2006-01-01 17:10:00,11.060,19.929,22.368,22.368
2006-01-01 17:20:00,11.030,19.785,21.261,21.261
2006-01-01 17:30:00,11.100,20.085,19.749,19.749
2006-01-01 17:40:00,10.880,19.167,19.919,19.919
2006-01-01 17:50:00,10.680,18.312,22.071,22.071
2006-01-01 18:00:00,10.590,17.937,22.593,22.593
2006-01-01 18:10:00,10.570,17.850,16.521,16.521
2006-01-01 18:20:00,10.390,17.091,16.018,16.018
2006-01-01 18:30:00,10.530,17.676,16.017,16.017
2006-01-01 18:40:00,10.710,18.405,17.161,17.161
2006-01-01 18:50:00,10.820,18.858,20.356,20.356
2006-01-01 19:00:00,11.150,20.217,29.117,29.117
