Date(YYYY-MM-DD hh:mm:ss),100m wind speed (m/s), rated power output at 100m (MW), SCORE-lite power output at 100m (MW),CorrectedScore
2006-01-01 00:00:00,10.110,17.283,17.729,17.729
2006-01-01 00:10:00,9.900,16.380,14.495,14.495
2006-01-01 00:20:00,10.140,17.445,16.184,16.184
2006-01-01 00:30:00,10.290,18.111,18.465,18.465
2006-01-01 00:40:00,9.960,16.671,17.295,17.295
2006-01-01 00:50:00,10.000,16.872,16.891,16.891
2006-01-01 01:00:00,10.180,17.670,19.880,19.880
2006-01-01 01:10:00,10.090,17.259,21.575,21.575
2006-01-01 01:20:00,9.970,16.776,18.269,18.269
2006-01-01 01:30:00,9.810,16.053,16.917,16.917
2006-01-01 01:40:00,9.320,13.920,13.450,13.450
2006-01-01 01:50:00,8.970,12.447,13.020,13.020
2006-01-01 02:00:00,8.490,10.608,10.615,10.615
2006-01-01 02:10:00,8.280, 9.804, 8.888,8.888
2006-01-01 02:20:00,8.180, 9.399, 8.925,8.925
2006-01-01 02:30:00,8.170, 9.372,10.481,10.481
2006-01-01 02:40:00,8.660,11.262,12.282,12.282
2006-01-01 02:50:00,9.350,14.118,15.275,15.275
2006-01-01 03:00:00,9.740,15.783,14.909,14.909
2006-01-01 03:10:00,9.740,15.807,17.254,17.254
2006-01-01 03:20:00,9.490,14.709,13.106,13.106
2006-01-01 03:30:00,8.980,12.540,12.936,12.936
2006-01-01 03:40:00,8.210, 9.564, 9.851,9.851
2006-01-01 03:50:00,7.850, 8.319, 5.589,5.589
2006-01-01 04:00:00,8.090, 9.117,10.573,10.573
2006-01-01 04:10:00,8.500,10.701,10.115,10.115
2006-01-01 04:20:00,8.740,11.628,12.068,12.068
2006-01-01 04:30:00,8.840,12.012,13.817,13.817
2006-01-01 04:40:00,9.190,13.437,14.012,14.012
2006-01-01 04:50:00,9.510,14.844,16.348,16.348
2006-01-01 05:00:00,9.640,15.432,16.665,16.665
2006-01-01 05:10:00,9.900,16.560,18.716,18.716
2006-01-01 05:20:00,10.230,17.967,17.621,17.621
2006-01-01 05:30:00,10.130,17.577,17.876,17.876
2006-01-01 05:40:00,9.930,16.683,17.809,17.809
2006-01-01 05:50:00,9.670,15.585,14.148,14.148
2006-01-01 06:00:00,9.210,13.590,13.739,13.739
2006-01-01 06:10:00,8.750,11.715,12.886,12.886
2006-01-01 06:20:00,8.330,10.068, 9.652,9.652
2006-01-01 06:30:00,7.920, 8.583, 7.795,7.795
2006-01-01 06:40:00,7.690, 7.872, 7.750,7.750
2006-01-01 06:50:00,7.650, 7.776,10.087,10.087
2006-01-01 07:00:00,7.880, 8.475, 8.050,8.050
2006-01-01 07:10:00,8.130, 9.312,10.206,10.206
2006-01-01 07:20:00,7.890, 8.490, 9.240,9.240
2006-01-01 07:30:00,7.390, 6.972, 5.296,5.296
2006-01-01 07:40:00,7.250, 6.543, 6.531,6.531
2006-01-01 07:50:00,7.080, 6.024, 6.294,6.294
2006-01-01 08:00:00,6.620, 4.908, 4.621,4.621
2006-01-01 08:10:00,5.690, 3.003, 1.882,1.882
2006-01-01 08:20:00,5.630, 2.910, 3.418,3.418
2006-01-01 08:30:00,5.480, 2.667, 1.980,1.980
2006-01-01 08:40:00,5.510, 2.718, 3.777,3.777
2006-01-01 08:50:00,5.970, 3.459, 1.164,1.164
2006-01-01 09:00:00,6.270, 4.131, 2.801,2.801
2006-01-01 09:10:00,5.910, 3.372, 3.954,3.954
2006-01-01 09:20:00,5.250, 2.289, 1.775,1.775
2006-01-01 09:30:00,5.280, 2.340, 2.171,2.171
2006-01-01 09:40:00,6.370, 4.347, 0.000,0.000
2006-01-01 09:50:00,7.470, 7.185, 6.885,6.885
2006-01-01 10:00:00,7.810, 8.220, 7.569,7.569
2006-01-01 10:10:00,6.880, 5.493, 5.449,5.449
2006-01-01 10:20:00,7.040, 5.859, 4.762,4.762
2006-01-01 10:30:00,7.400, 6.945, 5.962,5.962
2006-01-01 10:40:00,7.020, 5.808, 5.909,5.909
2006-01-01 10:50:00,9.010,12.663,14.035,14.035
2006-01-01 11:00:00,9.820,16.143,14.910,14.910
2006-01-01 11:10:00,9.640,15.348,15.764,15.764
2006-01-01 11:20:00,9.280,13.809,15.431,15.431
2006-01-01 11:30:00,8.550,10.842, 9.477,9.477
2006-01-01 11:40:00,9.580,15.066,17.013,17.013
2006-01-01 11:50:00,9.300,13.875,14.955,14.955
2006-01-01 12:00:00,10.100,17.319,17.812,17.812
2006-01-01 12:10:00,10.760,20.190,19.654,19.654
2006-01-01 12:20:00,10.340,18.402,19.099,19.099
2006-01-01 12:30:00,9.360,14.094,13.233,13.233
2006-01-01 12:40:00,8.810,11.820,11.321,11.321
2006-01-01 12:50:00,10.870,20.658,19.859,19.859
2006-01-01 13:00:00,11.580,23.553,24.169,24.169
2006-01-01 13:10:00,11.200,22.032,23.512,23.512
2006-01-01 13:20:00,11.480,23.094,22.301,22.301
2006-01-01 13:30:00,10.110,17.337,17.566,17.566
2006-01-01 13:40:00,9.690,15.504,16.622,16.622
2006-01-01 13:50:00,10.550,19.218,18.579,18.579
2006-01-01 14:00:00,11.010,21.219,22.481,22.481
2006-01-01 14:10:00,10.660,19.665,20.370,20.370
2006-01-01 14:20:00,10.350,18.345,18.750,18.750
2006-01-01 14:30:00,10.380,18.495,17.447,17.447
2006-01-01 14:40:00,10.470,18.888,16.550,16.550
2006-01-01 14:50:00,10.380,18.477,17.124,17.124
2006-01-01 15:00:00,10.150,17.469,16.652,16.652
2006-01-01 15:10:00,10.180,17.622,15.743,15.743
2006-01-01 15:20:00,10.980,21.081,21.756,21.756
2006-01-01 15:30:00,12.090,25.461,25.548,25.548
2006-01-01 15:40:00,11.410,22.782,26.770,26.770
2006-01-01 15:50:00,12.300,26.091,25.353,25.353
2006-01-01 16:00:00,12.140,25.617,26.680,26.680
2006-01-01 16:10:00,12.700,27.234,26.963,26.963
2006-01-01 16:20:00,13.030,28.176,27.365,27.365
2006-01-01 16:30:00,12.070,25.356,27.361,27.361
2006-01-01 16:40:00,12.180,25.713,25.559,25.559
2006-01-01 16:50:00,11.080,21.453,24.556,24.556
2006-01-01 17:00:00,12.050,25.290,29.252,29.252
2006-01-01 17:10:00,16.790,30.000,28.562,28.562
2006-01-01 17:20:00,16.260,30.000,26.990,26.990
2006-01-01 17:30:00,16.730,30.000,30.000,30.000
2006-01-01 17:40:00,16.880,30.000,29.979,29.979
2006-01-01 17:50:00,16.890,30.000,29.944,29.944
2006-01-01 18:00:00,16.970,30.000,29.972,29.972
2006-01-01 18:10:00,16.230,30.000,28.941,28.941
2006-01-01 18:20:00,16.290,30.000,28.479,28.479
2006-01-01 18:30:00,16.460,30.000,29.447,29.447
2006-01-01 18:40:00,15.960,29.991,30.000,30.000
2006-01-01 18:50:00,15.270,29.958,30.000,30.000
2006-01-01 19:00:00,15.070,29.934,30.000,30.000
2006-01-01 19:10:00,16.000,29.994,30.000,30.000
2006-01-01 19:20:00,15.280,29.958,28.532,28.532
2006-01-01 19:30:00,14.730,29.835,30.000,30.000
2006-01-01 19:40:00,13.570,28.962,30.000,30.000
2006-01-01 19:50:00,12.890,27.747,27.898,27.898
2006-01-01 20:00:00,13.670,29.079,30.000,30.000
2006-01-01 20:10:00,13.620,29.010,28.326,28.326
2006-01-01 20:20:00,12.670,27.072,25.366,25.366
2006-01-01 20:30:00,9.970,16.611,16.560,16.560
2006-01-01 20:40:00,9.030,12.555,13.719,13.719
2006-01-01 20:50:00,8.900,12.048,11.866,11.866
2006-01-01 21:00:00,9.010,12.456,10.505,10.505
2006-01-01 21:10:00,10.160,17.388,17.577,17.577
