Date(YYYY-MM-DD hh:mm:ss),100m wind speed (m/s), rated power output at 100m (MW), SCORE-lite power output at 100m (MW),CorrectedScore
2006-01-01 00:00:00,21.240,30.000,30.000,30.000
2006-01-01 00:10:00,21.870,30.000,30.000,30.000
2006-01-01 00:20:00,21.530,30.000,28.429,28.429
2006-01-01 00:30:00,20.680,30.000,30.000,30.000
2006-01-01 00:40:00,21.260,30.000,30.000,30.000
2006-01-01 00:50:00,22.370,30.000,30.000,30.000
2006-01-01 01:00:00,21.750,30.000,30.000,30.000
2006-01-01 01:10:00,21.650,30.000,27.601,27.601
2006-01-01 01:20:00,21.220,30.000,30.000,30.000
2006-01-01 01:30:00,21.130,30.000,30.000,30.000
2006-01-01 01:40:00,22.080,30.000,29.241,29.241
2006-01-01 01:50:00,21.770,30.000,30.000,30.000
2006-01-01 02:00:00,20.150,30.000,30.000,30.000
2006-01-01 02:10:00,18.940,30.000,30.000,30.000
2006-01-01 02:20:00,18.060,30.000,30.000,30.000
2006-01-01 02:30:00,17.220,30.000,30.000,30.000
2006-01-01 02:40:00,16.530,29.994,29.014,29.014
2006-01-01 02:50:00,15.320,29.868,29.215,29.215
2006-01-01 03:00:00,15.810,29.958,28.221,28.221
2006-01-01 03:10:00,16.030,29.970,30.000,30.000
2006-01-01 03:20:00,16.670,30.000,29.134,29.134
2006-01-01 03:30:00,17.000,30.000,30.000,30.000
2006-01-01 03:40:00,15.670,29.955,30.000,30.000
2006-01-01 03:50:00,14.170,29.181,27.170,27.170
2006-01-01 04:00:00,13.340,27.888,27.457,27.457
2006-01-01 04:10:00,12.270,24.678,27.004,27.004
2006-01-01 04:20:00,11.500,21.726,22.661,22.661
2006-01-01 04:30:00,10.880,19.173,18.707,18.707
2006-01-01 04:40:00,10.400,17.148,15.809,15.809
2006-01-01 04:50:00,9.690,14.142,15.948,15.948
2006-01-01 05:00:00,9.450,13.161,11.841,11.841
2006-01-01 05:10:00,9.750,14.430,10.204,10.204
2006-01-01 05:20:00,10.080,15.834,12.916,12.916
2006-01-01 05:30:00,10.250,16.512,21.852,21.852
2006-01-01 05:40:00,10.700,18.432,17.063,17.063
2006-01-01 05:50:00,11.520,21.831,24.007,24.007
2006-01-01 06:00:00,11.980,23.610,24.224,24.224
2006-01-01 06:10:00,11.920,23.388,24.141,24.141
2006-01-01 06:20:00,11.670,22.431,19.819,19.819
2006-01-01 06:30:00,11.930,23.400,24.902,24.902
2006-01-01 06:40:00,11.980,23.592,23.817,23.817
2006-01-01 06:50:00,11.630,22.272,23.944,23.944
2006-01-01 07:00:00,10.950,19.518,16.384,16.384
